Authors	Title	Citation	DOI	Year	Month	0	1	2	3	FINDINGS	Reported	Correction Date	Retraction	Correction	No Action	"SUM 
Completed"
"Dusanka S. Skundric, Weili Zhou, William W. Cruikshank, Rujuan Dai"	Increased levels of bioactive IL-16 correlate with disease activity during relapsing experimental autoimmune encephalomyelitis (EAE)	Journal of Autoimmunity 25 (2005) 206-214	10.1016/j.jaut.2005.09.016	2005				1		"Duplicated blot strips, stretched multiple cases"	1				1	1
"Pascale Gerbaud, Loıc Petzold, Patrice Therond, Wayne B. Anderson, Daniele Evain-Brion, Francoise Raynaud"	"Differential regulation of Cu, Zn- and Mn-superoxide dismutases by retinoic acid in normal and psoriatic human fibroblasts"	Journal of Autoimmunity 24 (2005) 69-78	10.1016/j.jaut.2004.10.003	2005			1			Duplicated blot panel	1				1	1
"M. Sisto, S. Lisi, D. Castellana, P. Scagliusi, M. D'Amore, S. Caprio, A. Scagliusi, A. Acquafredda, M.A. Panaro, V. Mitolo"	Autoantibodies from Sjögren's syndrome induce activation of both the intrinsic and extrinsic apoptotic pathways in human salivary gland cell line A-253	Journal of Autoimmunity 27 (2006) 38-49	10.1016/j.jaut.2006.05.001	2006					1	"Overlapping microscopy, duplicated bands within blots"	1				1	1
"Itshak Golan, Shlomo Nedvetzki, Ira Golan, Lora Eshkar-Sebban, David Levartovsky, Ori Elkayam, Dan Caspi, Suhail Aamar, Howard Amital, Alan Rubinow, David Naor"	Expression of extra trinucleotide in CD44 variant of rheumatoid arthritis patients allows generation of disease-specific monoclonal antibody	Journal of Autoimmunity 28 (2007) 99-113	10.1016/j.jaut.2007.02.007	2007			1			Duplicated FACS panel	1				1	1
"Xiaoyan Xiao, Bin Ma, Baojun Dong, Peng Zhao, Ningwen Tai, Li Chen, F. Susan Wong, Li Wen"	Cellular and humoral immune responses in the early stages of diabetic nephropathy in NOD mice	Journal of Autoimmunity 32 (2009) 85–93	10.1016/j.jaut.2008.12.003	2009				1		Overlapping microscopy images	1				1	1
"Dana Ben-Ami Shor, Miri Blank, Sandra Reuter, Torsten Matthias, Inbal Beiglass, Alexander Volkov, Iris Barshack, Yehuda Shoenfeld"	Anti-ribosomal-P antibodies accelerate lupus glomerulonephritis and induce lupus nephritis in nai_ve mice	Journal of Autoimmunity 54 (2014) 118-126	10.1016/j.jaut.2014.02.013	2014			1			Duplicated microscopy panels	1	2/1/2016		1		1
"Sawsan I. Kreydiyyeh, Christina Abou-Chahine, Randa Hilal-Dandan "	Interleukin-1 b inhibits NaC-KCATPase activity and protein expression in cardiac myocytes	Cytokine 26 (2004) 1-8	10.1016/j.cyto.2003.11.014	2004			1			Duplicated blot	1				1	1
"Ji-Yong Zhou, Ji-Gang Chen, Jin-Yong Wang, Jian-Xiang Wu, Hui Gong"	cDNA cloning and functional analysis of goose interleukin-2 	Cytokine 30 (2005) 328-338	10.1016/j.cyto.2004.12.015	2005				1		Overlapping microscopy	1				1	1
"Sarine Markossian, Sawsan Ibrahim Kreydiyyeh"	TNF-a down-regulates the NaCeKC ATPase and the Na+-K+-2Cl- cotransporter in the rat colon via PGE2	Cytokine 30 (2005) 319-327	10.1016/j.cyto.2004.11.009	2005					1	"Duplicated bands within blot strips, multiple cases"	1				1	1
"Hwa-Jeong Lee, Jin-Woo Cho, Sang-Cheol Kim, Kyung-Hwa Kang, Sun-Kyung Lee, Sung-Hee Pi, Suk-Keun Lee, Eun-Cheol Kim"	Roles of p38 and ERK MAP kinases in IL-8 expression in TNF-a- and dexamethasone-stimulated human periodontal ligament cells	Cytokine 35 (2006) 67–76	10.1016/j.cyto.2006.07.009	2006					1	"Duplicated lanes within blots, many many case"	1				1	1
